"","gender","age","country","handed","languages","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","travel","timetravel","bagweight","bagcarry","favlearning","reaction","cellmonths","fitlevel","pulserest","prefquality","superpower","timetaken","year"
"2470","male",9,"newzealand","right",1,139,13,142,25,29,31,7,6,"motor",10,NA,"hand","english",0.5,4,"veryfit",3,"healthy","invisibility",5874,5
"1726","male",12,"newzealand","right",1,157,24,156,16,28,40,80,60,"bus",16,4000,"two","health",0.422,16,"quitefit",64,"happy","time",1186,8
"1132","female",14,"Korea","right",2,165,23,159,15,32,41,70,60,"bus",10,NA,"two","arts",0.328,24,"quitefit",60,"happy","telepathy",692,10
"17722","male",17,"southafrica","left",2,179,27,200,18,38,43,90,100,"bus",25,6000,"two","arts",0.359,12,"quitefit",60,"happy","fly",482,13
"19503","male",13,"newzealand","right",3,164,28,167,17,36,47,9,15,"walk",9,NA,"two","health",0.609,41,"quitefit",104,"happy","time",729,9
"17211","female",13,"newzealand","left",1,162,24,161,15,39,46,72,69,"motor",7,7000,"two","technology",0.5,7,"littlefit",73,"rich","time",496,9
"7812","female",16,"India","right",3,151,23,154,14,30,41,73,68,"walk",15,NA,"two","english",0.343,8,"quitefit",60,"healthy","fly",801,12
"2047","male",10,"zimbarbwe","right",1,147,24,130,16,31,46,59,57,"motor",35,NA,"two","health",0.453,0,"quitefit",90,"happy","time",1038,7
"3947","male",13,"newzealand","left",2,174,27,178,21,38,56,85,78,"motor",10,3000,"two","technology",0.406,0,"veryfit",62,"happy","strength",174,9
"5486","female",11,"newzealand","right",1,155,23,143,16,34,43,85,76,"motor",12,NA,"one","arts",0.421,0,NA,61,"rich","telepathy",409,7
"197","female",10,"newzealand","right",2,143,21,131,15,32,33,70,60,"walk",5,NA,"one","arts",1.886,18,"veryfit",64,"happy","fly",430,6
"820","female",9,"newzealand","right",1,142,22,144,13,28,40,61,63,"motor",8,2002,"two","health",2.26,0,"veryfit",64,"healthy","fly",1804,5
"5447","female",14,"South Korea","right",2,161,24,159,16,33,39,86,89,"walk",5,9000,"two","arts",0.625,10,"littlefit",68,"rich","telepathy",948,10
"12258","female",15,"newzealand","ambi",1,163,21,159,17,32,45,73,70,"motor",20,2000,"two","health",0.41,1,"quitefit",76,"happy","fly",404,11
"16857","female",15,"newzealand","right",1,163,24,142,14,32,42,95,94,"bus",15,5500,"two","arts",0.475,4,"littlefit",100,"happy","telepathy",547,10
"8271","male",12,"newzealand","right",2,158,25,158,20,40,50,70,75,"motor",5,1000,"two","technology",0.344,0,"littlefit",-1,"famous","telepathy",902,8
"4152","male",13,"newzealand","right",1,142,21,109,15,29,30,9,6,"bike",10,NA,"two","health",0.641,6,"quitefit",63,"happy","time",516,9
"6101","male",13,"newzealand","right",1,156,23,144,14,29,47,70,65,"walk",45,2500,"two","english",0.39,4,"quitefit",90,"healthy","strength",349,9
"11586","male",15,"scotland","ambi",12,201,37,199,22,25,62,90,80,NA,7,1020,"hand","arts",NA,0,"veryfit",54,"rich","fly",832,11
"12633","female",14,"newzealand","left",1,159,24,163,15,32,43,82,77,"walk",7,5200,"two","arts",0.375,36,"veryfit",90,"happy","telepathy",474,10
"1289","male",13,"newzealand","right",1,155,24,155,16,34,43,70,70,"bus",45,9000,"two","technology",0.344,29,"quitefit",56,"happy","fly",1010,9
"1468","female",10,"newzealand","right",1,146,23,156,15,31,41,75,78,"motor",5,2100,"one","technology",0.515,18,"quitefit",100,"healthy","fly",677,7
"843","male",10,"newzealand","ambi",1,148,23,150,17,34,41,80,NA,"bike",17,NA,"two","health",0.407,NA,"littlefit",120,"happy","invisibility",1355,6
"1381","female",9,"newzealand","right",1,136,19,141,23,25,35,50,60,"walk",7,NA,"two","arts",0.504,0,"quitefit",75,"happy","fly",796,5
"12951","female",13,"Philippines","right",1,146,23,140,15,33,39,75,60,"bus",15,4000,"diagonal","arts",0.531,3,"quitefit",104,"happy","invisibility",699,9
"11063","female",13,"newzealand","right",1,169,28,176,20,35,57,96,98,"motor",11,7000,"one","technology",0.453,24,"quitefit",76,"happy","telepathy",439,9
"11603","female",14,"newzealand","right",3,157,20,142,15,29,42,80,82,"bike",18,7500,"one","health",0.406,NA,"veryfit",56,"healthy","telepathy",805,9
"9554","female",12,"newzealand","right",1,155,23,146,17,NA,39,80,70,"motor",45,NA,"two","arts",0.423,NA,"quitefit",64,"famous","fly",806,7
"10640","male",14,"newzealand","right",1,178,29,176,17,35,45,91,93,"walk",8,7000,"two","technology",0.344,3,"veryfit",-1,"healthy","time",963,10
"2563","female",10,"newzealand","right",2,138,19,145,14,27,34,80,80,"walk",3,1000,"two","science",0.557,0,"littlefit",25,"healthy","invisibility",1874,6
"12502","female",13,"newzealand","ambi",1,164,25,165,17,32,42,100,80,"bus",40,NA,"two","english",1.547,0,"quitefit",84,"happy","telepathy",1758,8
"2838","female",13,"newzealand","right",2,154,22,154,15,29,39,63,65,"motor",15,2100,"one","science",0.5,22,"veryfit",92,"happy","fly",829,10
"8751","female",11,"newzealand","right",1,167,24,160,16,33,47,75,70,"walk",10,600,"two","health",0.563,10,"littlefit",21,"happy","time",1873,8
"16181","male",13,"Philippines","left",2,167,0,77,16,33,16,98,100,"bus",20,3000,"two","health",0.266,6,"quitefit",90,"rich","telepathy",316,8
"17572","female",12,"newzealand","right",1,157,21,150,14,30,41,65,70,"bus",40,5000,"one","arts",0.484,4,"quitefit",80,"happy","fly",547,8
"14574","female",12,"newzealand","right",1,146,23,144,14,30,36,67,72,"walk",1,2000,"two","health",1.257,0,"veryfit",68,"healthy","fly",808,8
"12353","male",15,"Wales","right",1,174,25,173,15,33,43,71,70,"motor",7,5000,"two","health",0.344,14,"quitefit",83,"famous","time",809,10
"9702","female",14,"India","right",1,158,23,160,14,32,52,70,70,"motor",40,500,"two","arts",0.298,4,"quitefit",72,"famous","telepathy",651,10
"8553","female",11,"china","right",2,158,23,154,14,31,41,80,95,"motor",5,700,"two","arts",0.453,2,"quitefit",76,"healthy","time",717,7
"3891","male",10,"newzealand","right",1,140,23,144,80,31,39,70,60,"walk",10,NA,"two","arts",1.211,1,"quitefit",68,"happy","telepathy",619,6
"11463","female",13,"newzealand","right",1,156,22,154,15,30,41,87,91,"walk",25,7000,"two","english",0.375,17,"quitefit",72,"happy","telepathy",373,9
"12919","male",10,"newzealand","left",1,145,23,150,20,35,34,80,70,"walk",4,1000,"one","technology",0.331,26,"quitefit",-1,"healthy","time",614,6
"15011","female",13,"newzealand","left",1,165,23,165,15,33,44,73,75,"motor",15,NA,"one","languages",0.476,10,"quitefit",68,"rich","telepathy",997,9
"19980","female",14,"newzealand","right",2,165,23,165,15,31,44,103,95,"motor",6,2500,"diagonal","english",0.39,14,"quitefit",80,"happy","strength",617,10
"9293","female",15,"newzealand","right",1,167,24,169,17,31,41,93,101,"motor",5,6000,"two","social",0.501,5,"unfit",88,"happy","invisibility",648,11
"18495","female",11,"newzealand","right",1,153,22,154,14,30,42,7,6,"walk",15,6000,"diagonal","health",0.579,5,"veryfit",62,"happy","invisibility",605,8
"1495","female",13,"newzealand","ambi",1,171,25,165,15,31,46,70,80,"bus",30,5600,"one","arts",0.547,4,"quitefit",80,"happy","invisibility",755,9
"13341","male",15,"newzealand","right",2,170,27,166,19,31,43,90,95,"bus",40,4000,"two","health",0.43,6,"littlefit",104,"rich","time",791,10
"3347","male",15,"newzealand","right",1,163,29,163,23,36,44,7,8,"walk",2,4000,"two","technology",0.531,4,"quitefit",68,"rich","invisibility",498,10
"6021","male",10,"newzealand","right",1,143,22,143,14,30,34,6,6,"bike",3,1300,"two","health",0.361,0,"veryfit",75,"famous","telepathy",513,6
"11829","female",13,"newzealand","right",1,165,24,164,16,31,45,92,100,"bus",45,2000,"one","health",1.359,6,"quitefit",84,"healthy","fly",282,9
"8059","female",11,"newzealand","right",1,151,26,65,15,30,42,7,8,"motor",5,1350,"diagonal","arts",1.64,0,"veryfit",2,"rich","fly",477,7
"487","female",13,"newzealand","left",1,167,22,163,15,32,42,70,70,"walk",20,3000,"two","health",1.578,8,"quitefit",74,"happy","invisibility",491,9
"3625","female",12,"newzealand","right",2,135,22,140,15,29,45,80,70,"motor",9,700,"one","arts",0.439,0,"quitefit",68,"famous","telepathy",708,8
"5388","female",14,"newzealand","right",2,NA,26,172,72,37,42,8,8,"motor",45,4000,"one","health",0.359,18,"quitefit",97,"happy","time",644,10
"14415","female",11,"newzealand","right",1,157,23,157,16,33,19,70,70,"bus",45,NA,"two","arts",0.422,12,"quitefit",36,"happy","telepathy",1111,7
"8849","female",12,"newzealand","right",NA,149,24,156,16,28,40,97,93,"bike",10,6000,"two","arts",0.452,24,"quitefit",72,"happy","telepathy",872,8
"3126","female",12,"newzealand","right",1,155,22,159,16,31,40,80,80,"motor",5,NA,"one","technology",0.308,3,"littlefit",90,"happy","telepathy",1499,8
"5165","female",14,"newzealand","left",2,160,23,160,17,34,41,75,65,"train",70,2000,"two","health",0.453,16,"quitefit",75,"happy","fly",717,10
"8857","male",11,"newzealand","right",2,159,25,154,6,29,47,90,9,"motor",10,NA,"diagonal","technology",0.45,5,"quitefit",63,"healthy","time",1126,8
"3631","female",11,"newzealand","left",2,149,23,NA,19,32,50,7,8,"walk",3,6000,"two","mathstats",0.391,16,"littlefit",68,"happy","telepathy",481,8
"2677","female",12,"wales","right",2,154,20,143,14,29,47,65,70,"motor",5,2000,"one","arts",0.625,17,"quitefit",68,"healthy","telepathy",676,8
"1944","female",12,"newzealand","right",1,162,24,155,16,32,40,80,70,"bus",50,2500,"two","health",0.344,15,"veryfit",88,"rich","fly",1100,8
"11695","female",13,"Iraq","right",3,152,23,158,16,29,42,95,95,"bus",55,4000,"two","arts",0.359,NA,"quitefit",60,"famous","telepathy",973,9
"6906","male",14,"newzealand","right",1,174,25,177,19,37,74,65,70,"bus",30,2500,"two","health",0.39,0,"veryfit",71,"healthy","strength",1085,10
"5206","female",11,"phillipines","right",2,151,7,NA,7,10,12,30,20,"walk",2,NA,"two","arts",0.468,3,"quitefit",2,"rich","time",513,7
"9197","male",14,"newzealand","right",1,191,29,194,20,37,50,91,76,"bus",30,3250,"two","health",0.421,1,"quitefit",76,"healthy","fly",1627,10
"2696","male",14,"newzealand","right",2,152,25,133,15,30,48,55,55,"motor",8,NA,"two","arts",0.406,3,"quitefit",56,"rich","time",684,10
"6306","female",13,"newzealand","right",1,159,24,NA,15,30,41,90,91,"train",35,NA,"two","social",0.407,7,"littlefit",-1,"happy","fly",779,9
"11700","female",13,"southafrica","right",2,155,20,156,13,29,58,85,90,"motor",25,4000,"two","science",0.421,36,"littlefit",84,"healthy","telepathy",228,9
"7832","female",10,"newzealand","right",1,136,21,125,15,32,36,70,60,"motor",5,3000,"one","arts",0.697,0,"quitefit",56,"happy","invisibility",1179,6
"17074","female",14,"england","right",1,100,21,149,15,29,38,68,60,"train",40,NA,"two","social",0.339,59,"unfit",68,"happy","invisibility",678,9
"14818","male",13,"newzealand","right",1,184,28,182,18,37,44,95,100,"bus",45,3800,"diagonal","health",0.407,5,"quitefit",56,"rich","invisibility",426,9
"7186","female",11,"Korea","right",2,141,21,141,15,25,42,7,5,"motor",10,NA,"two","arts",0,0,"quitefit",104,"healthy","invisibility",2868,7
"13522","female",15,"newzealand","left",1,160,22,160,17,28,42,80,80,"bus",30,NA,"two","technology",0.484,1,"littlefit",-1,"happy","fly",827,10
"19506","male",13,"newzealand","ambi",1,153,25,145,15,28,40,4,6,"bike",10,5900,"two","english",0.344,1,"quitefit",84,"rich","invisibility",1116,9
"6048","female",12,"newzealand","right",2,149,23,184,14,32,12,7,7,"bus",20,NA,"two","arts",0.532,2,"littlefit",92,"famous","fly",793,8
"13729","female",14,"Korea","right",2,159,23,155,15,34,37,67,73,"bus",60,NA,"two","social",0.875,7,"littlefit",74,"healthy","telepathy",409,9
"2835","female",14,"newzealand","right",3,172,26,179,19,36,43,73,76,"train",50,3000,"one","technology",0.297,20,"quitefit",84,"happy","telepathy",831,10
"15369","male",15,"brazil","left",3,162,24,160,15,36,44,10,10,"bike",10,3000,"two","technology",0,8,"quitefit",68,"happy","fly",1258,10
"3691","male",15,"england","right",1,177,25,183,15,34,37,67,66,"motor",7,7300,"two","arts",0.39,8,"littlefit",88,"happy","telepathy",1646,11
"14041","female",14,"england","right",1,162,24,155,17,38,NA,7,7,"motor",35,NA,"hand","health",1.422,24,"littlefit",-1,"happy","fly",1084,10
"844","male",10,"newzealand","right",1,150,27,150,22,34,47,70,80,"other",10,500,"one","health",1.641,12,"quitefit",89,"famous","invisibility",2119,6
"538","male",13,"newzealand","ambi",1,153,23,154,15,29,42,72,74,"walk",16,2000,"two","social",0.328,NA,"quitefit",76,"happy","telepathy",558,9
"11284","male",9,"newzealand","left",1,152,90,NA,15,NA,62,19,45,"motor",5,NA,"one","english",3.281,0,"quitefit",12,"happy","strength",1513,5
"13863","male",14,"newzealand","right",1,173,26,180,17,34,45,90,90,"walk",5,4000,"two","technology",0.328,6,"quitefit",84,"happy","time",567,9
"13597","female",16,"australia","right",1,166,24,163,16,32,46,78,75,"bus",20,NA,"two","arts",0.502,4,"unfit",-1,"happy","fly",676,11
"2301","female",10,"china","right",3,NA,21,117,13,26,23,60,65,"walk",10,NA,"two","english",0.5,0,"quitefit",18,"healthy","invisibility",2220,6
"11746","female",12,"newzealand","right",1,158,25,150,16,131,0,7,6,"motor",10,NA,"two","health",0.43,24,"veryfit",20,"famous","fly",1352,7
